"streams_mill","released_month","mode","key","bpm","danceability","energy","liveness"
411.747614,5,"Major","E",120,60,35,31
255.932395,1,"Minor","G",140,74,80,5
31.873544,6,"Minor","A",128,81,77,9
95.053634,5,"Major","",122,78,81,10
1279.434863,1,"Major","",130,47,92,5
233.801632,2,"Major","A",160,69,71,31
1481.349984,12,"Major","F",144,73,70,28
142.095275,4,"Major","B",192,50,52,28
618.885532,6,"Major","",163,54,67,9
2011.464183,1,"Minor","C#",122,66,71,12
1167.330737,3,"Major","D",154,61,74,40
929.964809,10,"Minor","A",117,73,69,11
436.027885,1,"Minor","G",138,78,83,12
657.723613,7,"Major","",96,86,80,8
2713.92235,4,"Major","C#",104,77,63,36
621.660989,1,"Major","G#",164,45,62,16
1591.223784,3,"Major","",118,68,82,50
950.906471,5,"Minor","B",81,68,60,19
1593.270737,1,"Major","C#",117,82,45,7
1410.08883,2,"Major","D",174,45,37,64
1235.005533,1,"Major","C#",128,73,77,11
1661.187319,12,"Major","",145,60,27,14
1374.581173,5,"Minor","C#",150,65,55,14
94.186466,6,"Minor","A",90,60,53,21
1788.326445,1,"Major","F",85,55,53,22
1840.364617,1,"Major","D#",180,33,71,28
143.573775,4,"Major","C#",166,57,94,37
684.675814,11,"Major","G#",160,71,50,16
1113.838873,1,"Major","G",160,65,80,41
1267.33335,1,"Major","D",92,70,63,8
726.307468,3,"Major","",170,56,64,45
3562.54389,1,"Minor","C#",96,83,65,9
1131.09094,11,"Major","G#",120,67,52,12
307.370144,1,"Major","",98,70,54,9
1271.293243,9,"Major","G",92,53,34,12
265.882712,10,"Major","A",150,34,56,11
841.749534,3,"Major","F",94,37,47,11
47.956378,5,"Minor","E",90,74,63,27
806.39707,8,"Major","A",160,54,55,42
2132.335812,8,"Major","",120,70,75,9
1641.426668,1,"Major","F",109,63,85,9
2135.158446,9,"Minor","E",129,57,66,12
367.316268,12,"Major","G",157,54,60,7
350.381515,4,"Major","F#",130,63,73,9
1264.310836,5,"Minor","F",107,65,72,13
30.343206,7,"Minor","B",146,50,89,19
405.136812,2,"Minor","A",139,48,41,10
1145.727611,7,"Major","",116,74,70,13
540.654286,7,"Minor","F#",95,84,77,7
57.312735,6,"Minor","G#",170,62,80,37
397.582059,12,"Minor","F#",134,81,64,10
1479.115056,10,"Minor","F#",84,57,90,9
86.773632,6,"Minor","B",146,61,48,12
133.753727,5,"Minor","A#",74,53,67,10
123.124076,5,"Major","B",144,75,48,10
463.564958,11,"Minor","B",136,77,73,27
64.53304,5,"Major","E",100,56,55,12
65.496046,6,"Minor","F",105,89,78,7
68.616963,5,"Major","F",106,67,78,30
161.46099,3,"Major","D",132,85,68,9
